# External skills manifest for .agents/skills/ (gitignored — restore via tools/install-external-skills.sh)
# Format: <skill-name><TAB><github-source>   (source is passed to `npx skills add <source> -y`)
# Source "-" = no recorded origin; restore is intentionally skipped (see notes below).
# Sources captured from `npx skills check` output on 2026-07-13.
#
# Notes:
# - bgm: repo 直下の bgm/ が canonical。.agents 側は出所不明の旧コピーのため再インストール対象外。
# - skill-creator: `npx skills check` 出力に無し。SKILL.md description が anthropics/skills 版と
#   一致するため anthropics/skills 由来と判断（repo 直下の skill-creator/ とは別物）。
# - gsc: .agents/skills/gsc/.clawhub/origin.json は clawhub.ai 由来と記録しているが、
#   skills CLI が解決した jdrhyne/agent-skills を採用。
agent-browser	vercel-labs/agent-browser
api-contract-testing	aj-geddes/useful-ai-prompts
bgm	-
building-sales-team	refoundai/lenny-skills
enterprise-sales	refoundai/lenny-skills
fastify-best-practices	mcollina/skills
find-skills	vercel-labs/skills
founder-sales	refoundai/lenny-skills
frontend-design	anthropics/skills
gsc	jdrhyne/agent-skills
gws-calendar	googleworkspace/cli
gws-calendar-agenda	googleworkspace/cli
gws-calendar-insert	googleworkspace/cli
gws-docs	googleworkspace/cli
gws-docs-write	googleworkspace/cli
neon-postgres	neondatabase/agent-skills
playwright-cli	microsoft/playwright-cli
pricing-strategy	coreyhaines31/marketingskills
prisma-cli	prisma/skills
remotion-best-practices	remotion-dev/skills
rust-best-practices	apollographql/skills
sales-enablement	coreyhaines31/marketingskills
skill-creator	anthropics/skills
strategy-and-competitive-analysis	lyndonkl/claude
ui-ux-pro-max	nextlevelbuilder/ui-ux-pro-max-skill
vercel-react-best-practices	vercel-labs/agent-skills
youtube-channels	zeropointrepo/youtube-skills
